"X14","X15","X10","X17","X2","X16","X9","X11","X1","X5","X12","X7","X4","X3","X6"
21,10,0,0,0,0,1,0,1,0,0,0,0,0,0
24,11,3,1,0,0,0,0,0,0,1,0,0,0,0
16,8,4,2,1,1,0,0,1,0,0,0,0,0,0
45,10,0,1,2,0,0,0,2,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,7,9,1,2,3,1,0,1,0,0,0,0,0,0
11,3,4,4,0,1,0,0,0,0,0,1,0,0,0
12,8,7,0,0,0,0,0,1,0,0,0,0,0,0
110,21,6,6,1,3,2,1,1,0,0,0,0,0,0
4,1,2,1,0,1,1,0,0,0,0,0,1,0,0
19,4,2,0,0,0,0,0,1,0,0,0,0,0,0
128,40,5,7,2,0,4,0,0,1,0,0,0,0,0
8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7,2,0,0,1,0,0,1,0,0,0,0,0,0
88,13,3,6,2,1,0,0,0,0,1,0,0,0,0
36,12,3,0,0,1,0,0,0,0,1,0,0,0,0
75,14,5,5,1,1,2,0,0,1,0,0,0,0,0
58,10,5,2,0,0,0,1,0,0,0,1,0,0,0
3,4,0,1,0,0,0,0,1,0,0,0,0,0,0
26,4,4,3,0,1,1,0,1,0,0,0,0,0,0
74,38,5,2,1,0,1,0,0,1,0,0,0,0,0
17,7,6,1,0,1,1,0,1,0,0,0,0,0,0
22,2,7,2,0,1,0,0,1,0,0,0,0,0,0
33,8,4,0,1,1,1,0,0,0,1,0,0,0,0
5,4,0,0,1,0,0,0,1,0,0,0,0,0,0
4,5,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
74,13,27,12,0,12,2,2,2,0,0,0,0,0,0
10,9,0,2,0,0,0,0,0,0,1,0,0,0,0
37,6,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
