"Indice_Violencia_e_Confronto_Geral","Indice_Vulnerabilidade_e_Furtos","Perfil_Cidade","Categoria_Cidade","Furto_X14"
-0.153076938335828,1.20984420919403,"3","Vulnerabilidade Moderada",337
-1.34494938457116,2.87746619539892,"3","Vulnerabilidade Moderada",371
0.197370905052594,-0.247159206941686,"1","Estável",55
-0.0259681531494989,-0.313397080523682,"1","Estável",163
-0.463840086377066,1.34333468493858,"3","Vulnerabilidade Moderada",404
1.00602336737653,1.32159196496278,"1","Estável",856
0.0779021488193436,-0.403333332817114,"1","Estável",78
0.0290526943791991,-0.37661932248873,"1","Estável",119
-0.988078098288382,1.30044143833931,"3","Vulnerabilidade Moderada",167
0.739742150466161,-0.723295810773296,"1","Estável",525
1.36995153316946,1.19339693988917,"1","Estável",1111
0.682901135520293,-0.204495871525668,"1","Estável",371
0.208271661871091,3.45117726426685,"3","Vulnerabilidade Moderada",799
-0.314374880922322,-0.0917036282876511,"1","Estável",69
-2.29059532438899,7.68763224393216,"3","Vulnerabilidade Moderada",1086
0.135307648468359,-0.316318871107202,"1","Estável",75
1.23212682780601,-0.195100687211041,"1","Estável",599
-0.106988987712078,-0.401920205975943,"1","Estável",78
0.810004141788834,-0.523153271763329,"1","Estável",285
-1.4691777856557,3.17990330250907,"3","Vulnerabilidade Moderada",484
1.86918902557177,-0.500599727168472,"1","Estável",1160
1.5980279662561,-0.287983202922299,"1","Estável",287
-1.34682751594276,1.26902094174288,"3","Vulnerabilidade Moderada",88
-1.07667363947475,1.10454580030437,"3","Vulnerabilidade Moderada",74
-0.550198468438023,1.42837075768552,"3","Vulnerabilidade Moderada",183
2.28446139844853,-0.204219681575551,"1","Estável",921
-0.0177300350492769,-0.276060816133816,"1","Estável",5
-0.0177398048806928,-0.275400390202356,"1","Estável",2
-0.0177398048806928,-0.275400390202356,"1","Estável",2
-0.00591721178251753,-0.2827129038046,"1","Estável",4
-0.00591721178251753,-0.2827129038046,"1","Estável",1
-0.0177398048806928,-0.275400390202356,"1","Estável",1
-0.0177398048806928,-0.275400390202356,"1","Estável",2
1.22380002110045,-0.327051127570926,"1","Estável",317
0.716569158702691,-0.461696708701641,"1","Estável",275
0.223484649210901,-0.265305647701168,"1","Estável",235
-1.13506709340921,1.40621895695296,"3","Vulnerabilidade Moderada",75
-0.0853958621774889,-0.346869451449772,"1","Estável",26
-0.0135016157543162,-0.287901410931559,"1","Estável",38
-0.159926165048925,-0.262662560505486,"1","Estável",63
-1.26661355002301,1.35909621361457,"3","Vulnerabilidade Moderada",27
-0.108371820422961,-0.353419984881641,"1","Estável",119
-0.0377107570957657,-0.38770948321517,"1","Estável",74
-0.303337974752583,-0.149946119354096,"1","Estável",86
0.162742405040425,-0.298392437354394,"1","Estável",67
0.0454583243614195,-0.344016202674427,"1","Estável",94
0.205742798838877,-0.130446014822822,"1","Estável",47
-0.172272109613287,-0.394637769506941,"1","Estável",20
-0.218129793465682,-0.289240307624339,"1","Estável",38
-1.64229652947448,2.9458971523333,"3","Vulnerabilidade Moderada",220
-0.0039149695592314,-0.356561143537839,"1","Estável",89
0.154623832198386,-0.265590861865066,"1","Estável",210
-1.1755263230986,1.27183691152109,"3","Vulnerabilidade Moderada",6
0.119130445687478,0.0266017032602593,"1","Estável",174
-0.00931239248157631,-0.387582453396453,"1","Estável",36
1.09422847956017,-0.394096754784758,"1","Estável",375
0.771284929570846,-0.879278678436808,"1","Estável",353
0.468119844493747,-0.264432499182049,"1","Estável",328
-0.231278927142298,-0.25626026373307,"1","Estável",63
-0.0890467651309364,-0.363497938188585,"1","Estável",32
-0.924224079075512,3.06315268174863,"3","Vulnerabilidade Moderada",432
-0.0960936210827675,-0.247028890608105,"1","Estável",103
-0.114633273316398,-0.435259572287219,"1","Estável",70
-0.114005779924553,-0.309661916463902,"1","Estável",0
0.993278141722822,-0.310641132679884,"1","Estável",169
-1.2107351396366,1.42112679345272,"3","Vulnerabilidade Moderada",47
0.0137614626429691,-0.263307162987409,"1","Estável",96
-0.0896023142981026,-0.399674338448247,"1","Estável",43
-0.168554550632042,-0.268613725871246,"1","Estável",101
-2.02674516314544,3.00118833955946,"3","Vulnerabilidade Moderada",179
0.0719651286272399,-0.140580069132764,"1","Estável",88
-0.946695626880165,1.28244211379769,"3","Vulnerabilidade Moderada",71
0.317889798955927,-0.551660037805355,"1","Estável",368
0.250812762178728,-0.278763981337083,"1","Estável",354
-0.138545523942947,-0.384473040686556,"1","Estável",12
0.191533037761025,-0.512925598214479,"1","Estável",68
0.756484315638384,-0.362302530037045,"1","Estável",345
0.220746437692448,-0.339161884357044,"1","Estável",114
-0.309663353073324,-0.0983922629910512,"1","Estável",5
-1.28388408537509,1.41113773019834,"3","Vulnerabilidade Moderada",94
1.18275034278662,-0.280663279987831,"1","Estável",599
-0.0961634860348914,-0.493887036843806,"1","Estável",2
-1.12343034291435,1.5098657422216,"3","Vulnerabilidade Moderada",37
-0.28216458139244,-0.355590657341402,"1","Estável",90
-0.179863264791052,-0.352397684416096,"1","Estável",59
0.414407924283744,-0.410896455246426,"1","Estável",232
1.15838496003836,-0.484289194717787,"1","Estável",166
-0.00568596780700531,-0.335763891127214,"1","Estável",14
0.967762682344186,-0.47319378766671,"1","Estável",220
-0.770797988121676,1.50043973771273,"3","Vulnerabilidade Moderada",80
-0.125198559508371,1.42852346916051,"3","Vulnerabilidade Moderada",521
0.125860928733271,-0.289428493053875,"1","Estável",188
0.0284462093863514,-0.388252113450699,"1","Estável",22
-0.182432760401444,-0.554718129738518,"1","Estável",20
-0.0763057970451211,-0.306369020929391,"1","Estável",30
-0.152237600046597,-0.254071519145359,"1","Estável",40
